バラ商品コード,バラ商品名称,ケース商品コード,ケース商品名称,バラ個数
'4582409174521,ポッカコーヒーブラック日ハム １８５ｇ ,'4582409174538,  ,30
'4582409175153,ポッカ　パワースカッシュ ３５０ｍｌ ,'4582409175160,  ,24
'4582409175191,ポッカサッポロつぶ贅沢みかん ４００ｇ ,'4582409175207,ポッカサッポロつぶ贅沢みかん ４００ｇ×２４ ,24
'4582409177942,ポッカサッポロ玉露入りお茶 ６００ｍｌ ,'4582409177959,ポッカサッポロ玉露入りお茶 ６００ｍｌ×２４ ,24
'4582409178420,がぶ飲みメロンクリームソーダ ５００ｍｌ ,'4582409178437,がぶ飲みメロンクリームソーダ ５００ｍｌ×２４ ,24
'4582409178444,がぶ飲みメロンクリームソーダ １５００ｍｌ ,'4582409178451,がぶ飲みメロンクリームソーダ １５００ｍｌ×８ ,8
'4582409178956,グリーンシャワー ５００ｍｌ ,'4582409174026,ＰＳ　グリーンシャワーケース ５００ｍｌ＊２４ ,24
'4582409180287,キレートカルシウムサプライ ３５０ｍｌ ,'4582409180294,キレートカルシウムサプライ ３５０ｍｌＸ２４ ,24
'4582409183141,マカの元気ドリンク １００ｍｌ ,'4582409183158,マカの元気ドリンク ６００ｍｌ ,6
'4582409185527,松山光スポーツウォーター ５５０ｍｌ ,'4582409185534,松山光スポーツウォーター ５５０ｍｌＸ２４ ,24
'4582409185602,ポッカ　キレートＣウォーター ５００ｍｌ ,'4582409185619,ポッカ　キレートＣウォーター ５００ｍｌｘ２４ ,24
'4582409185626,ポッカ　キレートＣサプライ ９００ｍｌ ,'4582409185633,ポッカ　キレートＣサプライ ９００ｍｌｘ１２ ,12
'4582409185831,ポッカＳ　リボンナポリン ４５５ｍｌ ,'4582409185848,  ,24
'4582409185855,ポッカＳ　リボンナポリン １．５Ｌ ,'4582409185862,ポッカＳ　リボンナポリン １．５ＬＸ８ ,8
'4582409185879,リボンナポリン １９０ｍｌ ,'4582409185886,リボンナポリン １９０ｍｌＸ３０ ,30
'4582409185893,ポッカＳ　リボンナポリン缶 ５００ｍｌ ,'4582409185909,ポッカＳ　リボンナポリンカン ５００ｍｌＸ２４ ,24
'4582409185947,ポッカＳ　リボンシトロン ４５５ｍｌ ,'4582409185954,ポッカＳ　リボンシトロン ４５５ｍｌＸ２４ ,24
'4582409185961,ポッカＳ　リボンシトロン １．５Ｌ ,'4582409185978,ポッカＳ　リボンシトロン １．５ＬＸ８ ,8
'4582409185985,リボンシトロン １９０ｍｌ ,'4582409185992,リボンシトロン １９０ｍｌＸ３０ ,30
'4582409187910,じっくりとろーりコーン １９０ｇ ,'4582409187927,  ,30
'4582409188214,加賀棒ほうじ茶 ５２５ｍｌ ,'4582409188221,加賀棒ほうじ茶 ５２５ｍｌＸ２４ ,24
'4582409188450,サクサク角切り贅沢りんご ４００ｇ ,'4582409188467,  ,24
'4582409189396,キレートレモンスパークリング ４２０ｍｌ ,'4582409189402,キレートレモンスパークリング ４２０ｍｌｘ２４ ,24
'4582411222012,大雪水資源　大雪旭岳源水 ５００ｍｌ ,'4582411222036,大雪水資源　大雪旭岳源水 ５００ｍｌＸ２４ ,24
'4582411222029,大雪水資源　大雪旭岳源水 ２Ｌ ,'4582411222043,大雪水資源　大雪旭岳源水 ２ＬＸ６ ,6
'4582411222111,大雪山国立公園の天然水 ５００ｍｌ ,'4582411222135,大雪山国立公園の天然水 ５００ｍｌＸ２４ ,24
'4582411222128,大雪山国立公園の天然水 ２ｌ ,'4582411222142,大雪山国立公園の天然水 ２ｌＸ６ ,6
'4582540490429,チルアウトリラク ２５０ｍｌ ,'4582540490436,チルアウトリラク ２５０ｍｌＸ３０ ,30
'4582540490443,チルアウトリラクゼロ ２５０ｍｌ ,'4582540490450,チルアウトリラクゼロ ２５０ｍｌＸ３０ ,30
'4589570801348,２Ｅｎｅｒｇｙ ２５０ｍｌ ,'4589570801355,２Ｅｎｅｒｇｙ ２５０ｍｌＸ２４ ,24
'4589791480018,霧島天然水のむシリカ ５００ｍｌ ,'4589791480049,霧島天然水のむシリカ　ケース ５００ｍｌＸ２４ ,24
'4589850820014,ガラナスカッシュ　缶 ３５０ｍｌ ,'4589850820021,ガラナスカッシュ　缶 ３５０ｍｌＸ２４ ,24
'4589850820267,ポッカＳ　リボンナポリン缶 ３４０ｍｌ ,'4589850820274,Ｒｉｂｂｏｎナポリン　缶 ３４０ｍｌＸ２４ ,24
'4589850821417,ポッカ　伊達おいしい麦茶 ５２５ｍｌ ,'4589850821424,  ,24
'4589850821455,富良野ラベンダーティー ５００ｍｌ ,'4589850821462,富良野ラベンダーティー ５００ｍｌＸ２４ ,24
'4589850821479,ポッカサッポロ　にっぽん烏龍 ５２５ｍｌ ,'4589850821486,ポッカサッポロ　にっぽん烏龍 ５２５ｍｌｘ２４ ,24
'4589850821806,ポッカコーヒーオリジナル　缶 １９０ｇ ,'4589850821813,ポッカコーヒーオリジナル　缶 １９０ｇＸ３０ ,30
'4589850821820,ポッカコーヒー厳選微糖 １８５ｇ ,'4589850821837,ポッカコーヒー厳選微糖 １８５ｇｘ３０ ,30
'4589850821875,ふってふってゼリーグレープ ２９５ｇ ,'4589850821882,ふってふってゼリーグレープ ２９５ｇｘ２４ ,24
'4589850822599,キレートレモンＳＰクエン酸 ５００ｍｌ ,'4589850822605,  ,24
